postcode,region_id,city,region
176218,498,Dharamshala,Himachal Pradesh
176219,498,Dharamshala,Himachal Pradesh
180001,499,Jammu,Jammu And Kashmir
180002,499,Jammu,Jammu And Kashmir
180003,499,Jammu,Jammu And Kashmir
180004,499,Jammu,Jammu And Kashmir
180005,499,Jammu,Jammu And Kashmir
180006,499,Jammu,Jammu And Kashmir
180007,499,Jammu,Jammu And Kashmir
180010,499,Jammu,Jammu And Kashmir
180011,499,Jammu,Jammu And Kashmir
180012,499,Jammu,Jammu And Kashmir
180013,499,Jammu,Jammu And Kashmir
180015,499,Jammu,Jammu And Kashmir
180016,499,Jammu,Jammu And Kashmir
180020,499,Jammu,Jammu And Kashmir
181133,499,Jammu,Jammu And Kashmir
181152,499,Jammu,Jammu And Kashmir
190001,499,Srinagar,Jammu And Kashmir
190002,499,Srinagar,Jammu And Kashmir
190003,499,Srinagar,Jammu And Kashmir
190004,499,Srinagar,Jammu And Kashmir
190005,499,Srinagar,Jammu And Kashmir
190006,499,Srinagar,Jammu And Kashmir
190007,499,Srinagar,Jammu And Kashmir
190008,499,Srinagar,Jammu And Kashmir
190009,499,Srinagar,Jammu And Kashmir
190010,499,Srinagar,Jammu And Kashmir
190011,499,Srinagar,Jammu And Kashmir
190012,499,Srinagar,Jammu And Kashmir
190014,499,Srinagar,Jammu And Kashmir
190015,499,Srinagar,Jammu And Kashmir
190017,499,Srinagar,Jammu And Kashmir
190020,499,Srinagar,Jammu And Kashmir
190023,499,Srinagar,Jammu And Kashmir
191101,499,Srinagar,Jammu And Kashmir
191102,499,Srinagar,Jammu And Kashmir
191104,499,Srinagar,Jammu And Kashmir
191111,499,Srinagar,Jammu And Kashmir
191115,499,Srinagar,Jammu And Kashmir
191123,499,Srinagar,Jammu And Kashmir
191124,499,Srinagar,Jammu And Kashmir
192101,499,Anantnag,Jammu And Kashmir
192102,499,Anantnag,Jammu And Kashmir
192121,499,Pulwama,Jammu And Kashmir
192122,499,Pulwama,Jammu And Kashmir
192124,499,Anantnag,Jammu And Kashmir
192125,499,Anantnag,Jammu And Kashmir
192210,499,Anantnag,Jammu And Kashmir
192301,499,Pulwama,Jammu And Kashmir
192302,499,Pulwama,Jammu And Kashmir
192303,499,Pulwama,Jammu And Kashmir
192305,499,Pulwama,Jammu And Kashmir
192308,499,Pulwama,Jammu And Kashmir
193101,499,Baramulla,Jammu And Kashmir
193103,499,Baramulla,Jammu And Kashmir
193123,499,Baramulla,Jammu And Kashmir
193125,499,Baramulla,Jammu And Kashmir
193201,499,Sopore,Jammu And Kashmir
193202,499,Sopore,Jammu And Kashmir
193222,499,Kupwara,Jammu And Kashmir
193302,499,Hawal,Jammu And Kashmir
201001,517,Ghaziabad,Uttar Pradesh
201002,517,Ghaziabad,Uttar Pradesh
201003,517,Ghaziabad,Uttar Pradesh
201004,517,Ghaziabad,Uttar Pradesh
201005,517,Ghaziabad,Uttar Pradesh
201007,517,Ghaziabad,Uttar Pradesh
201009,517,Ghaziabad,Uttar Pradesh
201010,517,Ghaziabad,Uttar Pradesh
201011,517,Ghaziabad,Uttar Pradesh
201012,517,Ghaziabad,Uttar Pradesh
201013,517,Ghaziabad,Uttar Pradesh
201014,517,Ghaziabad,Uttar Pradesh
201204,517,Ghaziabad,Uttar Pradesh
201300,517,Noida,Uttar Pradesh
201301,517,Noida,Uttar Pradesh
201303,517,Noida,Uttar Pradesh
201304,517,Noida,Uttar Pradesh
201305,517,Noida,Uttar Pradesh
201306,517,Noida,Uttar Pradesh
201307,517,Noida,Uttar Pradesh
201308,517,Noida,Uttar Pradesh
201309,517,Noida,Uttar Pradesh
201310,517,Noida,Uttar Pradesh
201311,517,Noida,Uttar Pradesh
201312,517,Noida,Uttar Pradesh
201313,517,Noida,Uttar Pradesh
202001,517,Aligarh,Uttar Pradesh
202002,517,Aligarh,Uttar Pradesh
203001,517,Bulandshahar,Uttar Pradesh
203131,517,Bulandshahar,Uttar Pradesh
204101,517,Hathras,Uttar Pradesh
208001,517,Kanpur,Uttar Pradesh
208002,517,Kanpur,Uttar Pradesh
208003,517,Kanpur,Uttar Pradesh
208004,517,Kanpur,Uttar Pradesh
208005,517,Kanpur,Uttar Pradesh
208006,517,Kanpur,Uttar Pradesh
208007,517,Kanpur,Uttar Pradesh
208008,517,Kanpur,Uttar Pradesh
208009,517,Kanpur,Uttar Pradesh
208010,517,Kanpur,Uttar Pradesh
208011,517,Kanpur,Uttar Pradesh
208012,517,Kanpur,Uttar Pradesh
208013,517,Kanpur,Uttar Pradesh
208014,517,Kanpur,Uttar Pradesh
208015,517,Kanpur,Uttar Pradesh
208016,517,Kanpur,Uttar Pradesh
208017,517,Kanpur,Uttar Pradesh
208018,517,Kanpur,Uttar Pradesh
208019,517,Kanpur,Uttar Pradesh
208020,517,Kanpur,Uttar Pradesh
208021,517,Kanpur,Uttar Pradesh
208022,517,Kanpur,Uttar Pradesh
208023,517,Kanpur,Uttar Pradesh
208024,517,Kanpur,Uttar Pradesh
208025,517,Kanpur,Uttar Pradesh
208026,517,Kanpur,Uttar Pradesh
208027,517,Kanpur,Uttar Pradesh
209601,517,Farukhabad,Uttar Pradesh
209602,517,Farukhabad,Uttar Pradesh
209621,517,Farukhabad,Uttar Pradesh
209622,517,Farukhabad,Uttar Pradesh
209624,517,Farukhabad,Uttar Pradesh
209625,517,Farukhabad,Uttar Pradesh
209725,517,Kannauj,Uttar Pradesh
209726,517,Kannauj,Uttar Pradesh
209727,517,Kannauj,Uttar Pradesh
209801,517,Unnao,Uttar Pradesh
209861,517,Kanpur,Uttar Pradesh
210001,517,Banda,Uttar Pradesh
211001,517,Allahabad,Uttar Pradesh
211002,517,Allahabad,Uttar Pradesh
211003,517,Allahabad,Uttar Pradesh
211004,517,Allahabad,Uttar Pradesh
211005,517,Allahabad,Uttar Pradesh
211006,517,Allahabad,Uttar Pradesh
211007,517,Allahabad,Uttar Pradesh
211008,517,Allahabad,Uttar Pradesh
211009,517,Allahabad,Uttar Pradesh
211010,517,Allahabad,Uttar Pradesh
